char,cangjie,quick
〇,R,R
㐀,TM,TM
㐁,MOW,MW
㐂,PPP,PP
㐃,OML,OL
㐄,LS,LS
㐅,HI,HI
㐆,HSMS,HS
㐇,KNN,KN
㐈,ON,ON
㐉,MNN,MN
㐊,GN,GN
㐋,GN,GN
㐌,OPD,OD
㐍,BN,BN
㐎,YKN,YN
㐏,MMN,MN
㐐,VEN,VN
㐑,HEYN,HN
㐒,SHRN,SN
㐓,MRN,MN
㐔,YRN,YN
㐕,LWN,LN
㐖,GRU,GU
㐗,JPN,JN
㐘,FDN,FN
㐙,MRTN,MN
㐚,MMRN,MN
㐛,ORN,ON
㐜,IEKN,IN
㐝,QRN,QN
㐞,TCN,TN
㐟,LYN,LN
㐠,BUN,BN
㐡,KNMBK,KK
㐢,EDN,EN
㐣,IJJN,IN
㐤,KNJBC,KC
㐥,CSN,CN
㐦,HCQN,HN
㐧,IDNH,IH
㐨,NNNIN,NN
㐩,TTTT,TT
㐪,KU,KU
㐫,YUK,YK
㐬,YIHLV,YV
㐭,YWR,YR
㐮,YCTTV,YV
㐯,YRRA,YA
㐰,OR,OR
㐱,OHHH,OH
㐲,OK,OK
㐳,OMU,OU
㐴,ONI,OI
㐵,OMD,OD
㐶,ORU,OU
㐷,ONVM,OM
㐸,ONO,OO
㐹,OOMN,ON
㐺,OOO,OO
㐻,OOB,OB
㐼,OHT,OT
㐽,OHNK,OK
㐾,OMMU,OU
㐿,OQ,OQ
㑀,OKI,OI
㑁,OUU,OU
㑂,OMOB,OB
㑃,OVIS,OS
㑄,OWYI,OI
㑅,OOYM,OM
㑆,ORHU,OU
㑇,ONSM,OM
㑈,OPD,OD
㑉,OHNN,ON
㑊,OYLC,OC
㑋,OTW,OW
㑌,OSMG,OG
㑍,OQD,OD
㑎,OVVU,OU
㑏,OJDI,OI
㑐,OYMF,OF
㑑,OHBU,OU
㑒,OMLO,OO
㑓,OIKE,OE
㑔,OMBO,OO
㑕,OUNI,OI
㑖,OOL,OL
㑗,OHXH,OH
㑘,OIT,OT
㑙,OSJU,OU
㑚,OSQL,OL
㑛,ODL,OL
㑜,OQHL,OL
㑝,OMGT,OT
㑞,OFT,OT
㑟,OOMC,OC
㑠,OLEG,OG
㑡,OAIL,OL
㑢,OGIL,OL
㑣,ODD,OD
㑤,OTW,OW
㑥,OAPH,OH
㑦,OHSK,OK
㑧,OHDD,OD
㑨,OROK,OK
㑩,OWLN,ON
㑪,OYKL,OL
㑫,OOMP,OP
㑬,OVJR,OR
㑭,OWML,OL
㑮,OBJJ,OJ
㑯,OMBC,OC
㑰,OVNO,OO
㑱,ONHD,OD
㑲,OJBJ,OJ
㑳,OPUU,OU
㑴,OSME,OE
㑵,OKOK,OK
㑶,OOND,OD
㑷,OIBP,OP
㑸,OJRR,OR
㑹,OMWA,OA
㑺,OOGS,OS
㑻,OJPU,OU
㑼,OWHR,OR
㑽,OFBG,OG
㑾,OBYR,OR
㑿,OVVD,OD
㒀,OYCB,OB
